tag,teste
AZ, Arizona
CO, Colorado
DE, Delaware
FL, Florida
GA, Georgia
HI, Hawaii
ID, Idaho
IL, Illinois
IN, Indiana
IA, Iowa
KS, Kansas
KY, Kentucky
LA, Louisiana
MD, Maryland
ME, Maine
MA, Massachusetts
MN, Minnesota
MI, Michigan
MS, Mississippi
MO, Missouri
MT, Montana
NC, North Carolina
NE, Nebraska
NV, Nevada
NH, New Hampshire
NJ, New Jersey
NY, New York
ND, North Dakota
NM, New Mexico
OH, Ohio
OK, Oklahoma
OR, Oregon
PA, Pennsylvania
RI, Rhode Island
SC, South Carolina
SD, South Dakota
TN, Tennessee
TX, Texas
UT, Utah
WI, Wisconsin
VA, Virginia
VT, Vermont
WA, Washington
WV, West Virginia
WY, Wyoming
CA, California
CT, Connecticut
AK, Alaska
AR, Arkansas
AL, Alabama
